1023,23.32,27.31,102.0,1.0,0.60,0.80,1.00,1.10,413.0,3.42,23.32,5.715,0.80,1.09,1.25,1.36
1043,23.32,27.32,102.0,1.0,0.70,0.90,1.10,1.20,416.0,3.42,23.32,5.716,0.79,1.08,1.25,1.36
1063,23.32,27.33,101.0,1.0,0.70,1.00,1.30,1.40,416.0,3.43,23.32,5.718,0.79,1.08,1.25,1.36
1083,23.31,27.33,101.0,1.0,0.70,0.90,1.10,1.20,420.0,3.42,23.31,5.716,0.79,1.08,1.25,1.35
1103,23.31,27.34,101.0,1.0,0.70,0.90,1.10,1.20,416.0,3.42,23.31,5.717,0.79,1.07,1.24,1.35
1123,23.31,27.35,102.0,1.0,0.70,0.90,1.10,1.20,417.0,3.43,23.31,5.719,0.79,1.07,1.24,1.35
1143,23.31,27.35,101.0,1.0,0.70,0.90,1.10,1.20,417.0,3.43,23.31,5.720,0.79,1.07,1.24,1.35
1163,23.31,27.36,102.0,1.0,0.60,0.80,1.00,1.10,418.0,3.44,23.31,5.722,0.78,1.06,1.23,1.34
1183,23.31,27.36,102.0,1.0,0.50,0.70,0.90,1.00,416.0,3.44,23.31,5.722,0.78,1.06,1.23,1.34
1203,23.31,27.37,102.0,1.0,0.50,0.60,0.80,0.90,413.0,3.44,23.31,5.723,0.77,1.05,1.22,1.33
1223,23.31,27.38,102.0,1.0,0.40,0.50,0.70,0.70,414.0,3.44,23.31,5.725,0.77,1.04,1.21,1.32
1243,23.31,27.39,102.0,1.0,0.40,0.50,0.70,0.70,417.0,3.45,23.31,5.727,0.76,1.03,1.20,1.31
1263,23.30,27.39,101.0,1.0,0.40,0.50,0.70,0.70,415.0,3.45,23.30,5.725,0.76,1.02,1.20,1.30
1283,23.30,27.39,101.0,1.0,0.40,0.50,0.70,0.70,413.0,3.45,23.30,5.725,0.75,1.02,1.19,1.29
1303,23.30,27.39,101.0,1.0,0.50,0.60,0.80,0.90,409.0,3.44,23.30,5.724,0.75,1.01,1.18,1.28
